exp_id,run_id,tier,request_model,response_model,n_calls,n_ok,n_failed,input_tokens_mean,input_tokens_median,output_tokens_mean,output_tokens_median,latency_ms_p50,latency_ms_p95,cost_usd_total,cost_usd_per_call
e0_judge_iso,e0_judge_iso_20260914T120557Z,judge,claude-sonnet-5,claude-sonnet-5,280,279,1,1083.068100,1082,170.053763,160,2625.430000,3766.410000,1.084140,0.003872
e0_noise,e0_noise_20260914T115913Z,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,350,350,0,1668.000000,1666.500000,77.265714,76.000000,1409.315000,1731.800000,0.719015,0.002054
e0_noise,e0_noise_20260914T115913Z,judge,claude-sonnet-5,claude-sonnet-5,350,350,0,1084.008571,1084.000000,172.322857,159.000000,2611.910000,4162.400000,1.361936,0.003891
e1_v2a,e1_v2a_20260915T153333Z,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,210,210,0,1562.000000,1560.500000,74.833333,73.000000,1327.685000,1592.420000,0.406595,0.001936
e1_v2a,e1_v2a_20260915T153333Z,judge,claude-sonnet-5,claude-sonnet-5,210,210,0,1084.185714,1084.000000,173.433333,163.500000,2621.945000,4142.100000,0.819568,0.003903
e1_v2b,e1_v2b_20260915T153711Z,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,210,210,0,1408.000000,1406.500000,77.600000,76.000000,1299.425000,1562.080000,0.377160,0.001796
e1_v2b,e1_v2b_20260915T153711Z,judge,claude-sonnet-5,claude-sonnet-5,210,210,0,1090.695238,1088.000000,166.780952,156.500000,2491.695000,3779.560000,0.808332,0.003849
e1_v2c,e1_v2c_20260915T154039Z,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,210,210,0,1445.000000,1443.500000,77.642857,77.000000,1109.740000,1593.820000,0.384975,0.001833
e1_v2c,e1_v2c_20260915T154039Z,judge,claude-sonnet-5,claude-sonnet-5,210,210,0,1084.176190,1084.000000,166.347619,160.000000,2514.295000,3781.150000,0.804684,0.003832
e1_v2d,e1_v2d_20260915T154407Z,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,210,210,0,1574.000000,1572.500000,78.280952,78.500000,1328.740000,1628.180000,0.412735,0.001965
e1_v2d,e1_v2d_20260915T154407Z,judge,claude-sonnet-5,claude-sonnet-5,210,210,0,1084.923810,1084.500000,175.976190,165.500000,2595.155000,4220.950000,0.825218,0.003930
smoke,smoke_2026-09-14,classifier,claude-haiku-4-5,claude-haiku-4-5-20251001,10,10,0,1689.400000,1685.500000,84.800000,88.500000,1470.080000,1636.570000,0.021134,0.002113
smoke,smoke_2026-09-14,judge,claude-sonnet-5,claude-sonnet-5,10,10,0,1100.600000,1099.500000,166.000000,163.500000,2505.650000,3764.440000,0.038612,0.003861
